user_id;condition;timing;image_id
44;2;0;1
44;2;0;2
44;2;0;3
44;2;15;4
44;2;16;5
44;2;16;6
44;2;20;7
44;2;17;8
44;2;21;9
44;2;17;10
44;2;29;11
44;2;14;12
44;2;25;13
44;2;40;14
44;2;18;15
44;2;17;16
44;2;15;17
44;2;27;18
47;2;0;1
47;2;0;2
47;2;0;3
47;2;23;4
47;2;25;5
47;2;21;6
47;2;36;7
47;2;11;8
47;2;50;9
47;2;23;10
47;2;27;11
47;2;14;12
47;2;10;13
47;2;42;14
47;2;42;15
47;2;28;16
47;2;38;17
47;2;31;18
48;1;0;1
48;1;0;2
48;1;0;3
48;1;19;4
48;1;10;5
48;1;18;6
48;1;12;7
48;1;32;8
48;1;10;9
48;1;20;10
48;1;14;11
48;1;30;12
48;1;21;13
48;1;20;14
48;1;12;15
48;1;17;16
48;1;16;17
48;1;13;18
51;3;0;1
51;3;0;1
51;3;0;1
51;3;0;2
51;3;0;3
51;3;48;4
51;3;27;5
51;3;49;6
51;3;66;7
51;3;136;8
51;3;43;9
51;3;23;10
51;3;100;11
51;3;42;12
51;3;28;13
51;3;31;14
51;3;49;15
51;3;69;16
51;3;55;17
51;3;57;18
55;4;0;1
55;4;0;1
55;4;0;2
55;4;0;3
55;4;30;4
55;4;26;5
55;4;41;6
55;4;48;7
55;4;43;8
55;4;31;9
55;4;11;10
55;4;33;11
55;4;29;12
55;4;33;13
55;4;38;14
55;4;47;15
55;4;26;16
55;4;37;17
55;4;30;18
55;4;27;19
55;4;598;39
55;4;17;59
55;4;22;79
55;4;35;99
59;4;0;1
59;4;0;1
59;4;0;2
59;4;0;3
59;4;35;4
59;4;22;5
59;4;22;6
59;4;41;7
59;4;57;8
59;4;26;9
59;4;26;10
59;4;28;11
59;4;29;12
59;4;32;13
59;4;22;14
59;4;33;15
59;4;38;16
59;4;27;17
59;4;27;18
61;3;0;1
61;3;0;1
61;3;0;1
61;3;0;2
61;3;0;3
61;3;33;4
61;3;57;5
61;3;37;6
61;3;25;7
61;3;41;8
61;3;59;9
61;3;33;10
61;3;56;11
61;3;42;12
61;3;42;13
61;3;33;14
61;3;26;15
61;3;39;16
61;3;22;17
61;3;59;18
63;1;0;1
63;1;0;2
63;1;0;3
63;1;47;4
63;1;25;5
63;1;36;6
63;1;30;7
63;1;56;8
63;1;35;9
63;1;36;10
63;1;63;11
63;1;57;12
63;1;45;13
63;1;30;14
63;1;67;15
63;1;25;16
63;1;80;17
63;1;35;18
64;1;0;1
64;1;0;2
64;1;0;3
64;1;32;4
64;1;28;5
64;1;21;6
64;1;22;7
64;1;23;8
64;1;40;9
64;1;22;10
64;1;41;11
64;1;22;12
64;1;26;13
64;1;35;14
64;1;73;15
64;1;19;16
64;1;26;17
64;1;34;18
69;2;0;1
69;2;0;2
69;2;0;3
69;2;108;4
69;2;210;5
69;2;384;6
69;2;105;7
69;2;89;8
69;2;128;9
69;2;82;10
69;2;335;11
69;2;35;12
69;2;116;13
69;2;469;14
69;2;88;15
69;2;118;16
69;2;138;17
69;2;77;18
71;1;0;1
71;1;0;2
71;1;0;3
71;1;13;4
71;1;8;5
71;1;10;6
71;1;11;7
71;1;8;8
71;1;16;9
71;1;10;10
71;1;14;11
71;1;12;12
71;1;11;13
71;1;11;14
71;1;26;15
71;1;8;16
71;1;16;17
71;1;12;18
73;1;0;1
73;1;0;2
73;1;0;3
73;1;49;4
73;1;79;5
73;1;46;6
73;1;54;7
73;1;24;8
73;1;44;9
73;1;29;10
73;1;55;11
73;1;46;12
73;1;36;13
73;1;39;14
73;1;33;15
73;1;37;16
73;1;36;17
73;1;33;18
74;1;0;1
74;1;0;2
74;1;0;3
74;1;21;4
74;1;17;5
74;1;14;6
74;1;28;7
74;1;70;8
74;1;23;9
74;1;18;10
74;1;25;11
74;1;32;12
74;1;19;13
74;1;25;14
74;1;10;15
74;1;16;16
74;1;25;17
74;1;14;18
90;2;0;1
90;2;0;2
90;2;0;3
90;2;39;4
90;2;31;5
90;2;66;6
90;2;41;7
90;2;99;8
90;2;98;9
90;2;92;10
90;2;59;11
90;2;42;12
90;2;16;13
90;2;79;14
90;2;50;15
90;2;129;16
90;2;51;17
90;2;68;18
90;2;27;19
90;2;17;39
90;2;36;59
90;2;19;79
90;2;30;99
101;2;0;1
101;2;0;2
101;2;0;3
101;2;18;4
101;2;32;5
101;2;43;6
101;2;29;7
101;2;16;8
101;2;20;9
101;2;27;10
101;2;45;11
101;2;34;12
101;2;42;13
101;2;27;14
101;2;12;15
101;2;14;16
101;2;19;17
101;2;20;18
101;2;12;19
101;2;25;39
101;2;15;59
101;2;10;79
101;2;14;99
103;2;0;1
103;2;0;2
103;2;0;3
103;2;31;4
103;2;61;5
103;2;46;6
103;2;331;7
103;2;22;8
103;2;22;9
103;2;16;10
103;2;48;11
103;2;40;12
103;2;20;13
103;2;38;14
103;2;230;15
103;2;58;16
103;2;27;17
103;2;25;18
103;2;26;19
103;2;21;20
103;2;46;21
103;2;42;39
103;2;38;40
103;2;18;41
103;2;33;59
103;2;24;60
103;2;22;61
103;2;40;79
103;2;21;80
103;2;23;81
103;2;23;99
103;2;26;100
103;2;24;101
104;3;0;1
104;3;0;1
104;3;0;1
104;3;0;2
104;3;0;3
104;3;91;4
104;3;105;5
104;3;127;6
104;3;84;7
104;3;75;8
104;3;104;9
104;3;57;10
104;3;93;11
104;3;76;12
104;3;130;13
104;3;108;14
104;3;90;15
104;3;91;16
104;3;101;17
104;3;76;18
105;4;0;1
105;4;0;1
105;4;0;2
105;4;0;3
105;4;69;4
105;4;109;5
105;4;53;6
105;4;81;7
105;4;56;8
105;4;60;9
105;4;130;10
105;4;86;11
105;4;33;12
105;4;97;13
105;4;66;14
105;4;74;15
105;4;48;16
105;4;86;17
105;4;57;18
111;2;0;1
111;2;69;4
111;2;52;5
111;2;107;6
111;2;100;7
111;2;81;8
111;2;80;9
111;2;63;10
111;2;103;11
111;2;136;12
111;2;69;13
111;2;56;14
111;2;56;15
111;2;85;16
111;2;89;17
111;2;69;18
115;3;0;1
115;3;0;1
115;3;0;2
115;3;0;3
115;3;114;4
115;3;260;5
115;3;754;6
115;3;284;7
115;3;762;8
115;3;366;9
115;3;115;10
115;3;178;11
115;3;386;12
115;3;114;13
115;3;260;14
115;3;190;15
115;3;398;16
115;3;160;17
115;3;199;18
115;3;99;19
115;3;120;39
115;3;117;59
115;3;83;79
115;3;47;99
120;2;0;1
120;2;0;2
120;2;0;3
120;2;35;4
120;2;22;5
120;2;58;6
120;2;37;7
120;2;24;8
120;2;22;9
120;2;23;10
120;2;20;11
120;2;29;12
120;2;19;13
120;2;22;14
120;2;20;15
120;2;21;16
120;2;31;17
120;2;19;18
120;2;34;19
120;2;16;20
120;2;26;39
120;2;21;40
120;2;25;59
120;2;30;60
120;2;24;79
120;2;17;80
120;2;26;99
120;2;22;100
123;2;0;1
123;2;0;2
123;2;0;3
123;2;44;4
123;2;79;5
123;2;92;6
123;2;82;7
123;2;45;8
123;2;58;9
123;2;65;10
123;2;79;11
123;2;51;12
123;2;61;13
123;2;91;14
123;2;126;15
123;2;33;16
123;2;54;17
123;2;113;18
123;2;31;19
123;2;24;39
123;2;37;59
123;2;62;79
123;2;33;99
125;3;0;1
125;3;0;1
125;3;0;1
125;3;0;2
125;3;0;3
125;3;47;4
125;3;45;5
125;3;21;6
125;3;33;7
125;3;20;8
125;3;55;9
125;3;63;10
125;3;77;11
125;3;31;12
125;3;43;13
125;3;28;14
125;3;49;15
125;3;72;16
125;3;57;17
125;3;37;18
132;4;0;1
132;4;0;1
132;4;0;2
132;4;0;3
132;4;15;4
132;4;44;5
132;4;12;6
132;4;17;7
132;4;42;8
132;4;19;9
132;4;60;10
132;4;19;11
132;4;19;12
132;4;16;13
132;4;31;14
132;4;40;15
132;4;49;16
132;4;27;17
132;4;35;18
135;4;0;1
135;4;0;1
135;4;0;2
135;4;0;3
135;4;33;4
135;4;199;5
135;4;77;6
135;4;122;7
135;4;64;8
135;4;48;9
135;4;38;10
135;4;25;11
135;4;34;12
135;4;98;13
135;4;65;14
135;4;60;15
135;4;104;16
135;4;31;17
135;4;70;18
135;4;52;19
135;4;67;39
135;4;18;59
135;4;44;79
135;4;26;99
146;1;0;1
146;1;0;2
146;1;0;3
146;1;18;4
146;1;63;5
146;1;29;6
146;1;40;7
146;1;18;8
146;1;13;9
146;1;31;10
146;1;14;11
146;1;37;12
146;1;28;13
146;1;16;14
146;1;25;15
146;1;49;16
146;1;66;17
146;1;14;18
151;3;0;1
151;3;0;1
151;3;0;2
151;3;0;3
151;3;43;4
151;3;52;5
151;3;30;6
151;3;70;7
151;3;41;8
151;3;35;9
151;3;30;10
151;3;45;11
151;3;27;12
151;3;28;13
151;3;29;14
151;3;41;15
151;3;60;16
151;3;58;17
151;3;56;18
155;4;0;1
155;4;0;1
155;4;0;2
155;4;0;3
155;4;149;4
155;4;59;5
155;4;144;6
155;4;55;7
155;4;150;8
155;4;62;9
155;4;188;10
155;4;27;11
155;4;128;12
155;4;150;13
155;4;120;14
155;4;102;15
155;4;210;16
155;4;28;17
155;4;21;18
157;2;0;1
157;2;0;2
157;2;0;3
157;2;14;4
157;2;15;5
157;2;20;6
157;2;27;7
157;2;17;8
157;2;28;9
157;2;18;10
157;2;30;11
157;2;24;12
157;2;11;13
157;2;15;14
157;2;15;15
157;2;17;16
157;2;18;17
157;2;17;18
157;2;18;19
157;2;13;39
157;2;13;59
157;2;14;79
157;2;13;99
159;2;0;1
159;2;0;2
159;2;0;3
159;2;36;4
159;2;27;5
159;2;59;6
159;2;22;7
159;2;13;8
159;2;22;9
159;2;35;10
159;2;30;11
159;2;11;12
159;2;24;13
159;2;28;14
159;2;36;15
159;2;25;16
159;2;16;17
159;2;17;18
166;2;0;1
166;2;0;2
166;2;0;3
166;2;32;4
166;2;42;5
166;2;47;6
166;2;45;7
166;2;29;8
166;2;41;9
166;2;31;10
166;2;47;11
166;2;38;12
166;2;40;13
166;2;31;14
166;2;36;15
166;2;52;16
166;2;40;17
166;2;43;18
189;2;0;1
189;2;0;2
189;2;0;3
189;2;44;4
189;2;25;5
189;2;31;6
189;2;21;7
189;2;31;8
189;2;37;9
189;2;18;10
189;2;18;11
189;2;29;12
189;2;22;13
189;2;23;14
189;2;39;15
189;2;60;16
189;2;24;17
189;2;17;18
189;2;18;19
189;2;39;39
189;2;14;59
189;2;21;79
189;2;23;99
195;2;0;1
195;2;0;2
195;2;0;3
195;2;61;4
195;2;8;5
195;2;54;6
195;2;80;7
195;2;41;8
195;2;122;9
195;2;44;10
195;2;43;11
195;2;86;12
195;2;54;13
195;2;75;14
195;2;51;15
195;2;53;16
195;2;67;17
195;2;72;18
195;2;23;19
195;2;23;39
195;2;36;59
195;2;9;79
195;2;32;99
203;1;0;1
203;1;0;2
203;1;0;3
203;1;53;4
203;1;53;5
203;1;41;6
203;1;39;7
203;1;64;8
203;1;31;9
203;1;38;10
203;1;32;11
203;1;61;12
203;1;31;13
203;1;49;14
203;1;37;15
203;1;43;16
203;1;43;17
203;1;35;18
216;4;0;1
216;4;0;1
216;4;0;2
216;4;0;3
216;4;133;4
216;4;139;5
216;4;483;6
216;4;96;7
216;4;65;8
216;4;226;9
216;4;90;10
216;4;127;11
216;4;205;12
216;4;141;13
216;4;222;14
216;4;133;15
216;4;71;16
216;4;103;17
216;4;185;18
216;4;52;19
216;4;103;39
216;4;81;59
216;4;87;79
216;4;139;99
230;1;0;1
230;1;0;2
230;1;0;3
230;1;25;4
230;1;24;5
230;1;38;6
230;1;17;7
230;1;19;8
230;1;30;9
230;1;20;10
230;1;24;11
230;1;33;12
230;1;19;13
230;1;46;14
230;1;29;15
230;1;39;16
230;1;20;17
230;1;41;18
244;1;0;1
244;1;0;2
244;1;0;3
244;1;39;4
244;1;71;5
244;1;48;6
244;1;17;7
244;1;21;8
244;1;63;9
244;1;68;10
244;1;65;11
244;1;20;12
244;1;52;13
244;1;45;14
244;1;19;15
244;1;107;16
244;1;26;17
244;1;68;18
247;1;0;1
247;1;0;2
247;1;0;3
247;1;56;4
247;1;23;5
247;1;35;6
247;1;59;7
247;1;56;8
247;1;44;9
247;1;33;10
247;1;31;11
247;1;26;12
247;1;28;13
247;1;29;14
247;1;34;15
247;1;33;16
247;1;75;17
247;1;33;18
250;1;0;1
250;1;0;2
250;1;0;3
250;1;38;4
250;1;31;5
250;1;28;6
250;1;33;7
250;1;40;8
250;1;40;9
250;1;27;10
250;1;21;11
250;1;43;12
250;1;16;13
250;1;28;14
250;1;36;15
250;1;43;16
250;1;26;17
250;1;30;18
253;1;0;1
253;1;0;2
253;1;0;3
253;1;26;4
253;1;19;5
253;1;98;6
253;1;23;7
253;1;55;8
253;1;17;9
253;1;22;10
253;1;57;11
253;1;125;12
253;1;65;13
253;1;35;14
253;1;18;15
253;1;37;16
253;1;27;17
253;1;15;18
263;2;0;1
263;2;0;2
263;2;0;3
263;2;146;4
263;2;66;5
263;2;227;6
263;2;115;7
263;2;96;8
263;2;112;9
263;2;126;10
263;2;182;11
263;2;158;12
