user_id;condition;image_id;image_type;tag;rater_1;rater_2;mean_ratings
44;2;1;0;kunst;2;2;2,0
44;2;1;0;ruhe;3;3;3,0
44;2;1;0;seltsam;3;3;3,0
44;2;2;0;abend;3;3;3,0
44;2;2;0;entspannung;3;3;3,0
44;2;2;0;herbst;2;2;2,0
44;2;2;0;kunst;1;1;1,0
44;2;2;0;spazieren;2;2;2,0
44;2;3;0;dreck;2;2;2,0
44;2;3;0;kaffee;2;2;2,0
44;2;3;0;küche;2;2;2,0
44;2;3;0;still;3;3;3,0
44;2;4;1;entlastung;2;2;2,0
44;2;4;1;frieden;3;3;3,0
44;2;4;1;ruhe;3;3;3,0
44;2;4;1;still;3;3;3,0
44;2;5;1;hast;1;1;1,0
44;2;5;1;traurigkeit;3;3;3,0
44;2;6;1;freude;3;3;3,0
44;2;6;1;künstlerisch;2;2;2,0
44;2;7;1;menschen;2;2;2,0
44;2;7;1;paar;2;2;2,0
44;2;7;1;rustikal;2;2;2,0
44;2;8;1;regnersich;3;3;3,0
44;2;8;1;traurigkeit;3;3;3,0
44;2;8;1;unruhe;3;3;3,0
44;2;9;1;entspannung;3;3;3,0
44;2;9;1;liebe;3;3;3,0
44;2;9;1;ruhe;3;3;3,0
44;2;10;1;herbst;2;2;2,0
44;2;10;1;nacht;2;2;2,0
44;2;10;1;paar;2;2;2,0
44;2;10;1;spazieren;2;2;2,0
44;2;10;1;wald;2;2;2,0
44;2;11;1;meer;2;2;2,0
44;2;11;1;unruhe;3;3;3,0
44;2;12;1;schweigen;2;2;2,0
44;2;12;1;traurig;3;3;3,0
44;2;12;1;unmut;3;3;3,0
44;2;13;1;hitze;2;2;2,0
44;2;13;1;langweilig;3;3;3,0
44;2;15;1;achtsamkeit;2;2;2,0
44;2;15;1;frieden;3;3;3,0
44;2;15;1;ruhe;3;3;3,0
44;2;15;1;still;3;3;3,0
44;2;16;1;blumen;2;2;2,0
44;2;16;1;entspannung;3;3;3,0
44;2;16;1;ruhe;3;3;3,0
44;2;17;1;frieden;3;3;3,0
44;2;17;1;natur;2;2;2,0
44;2;17;1;ruhe;3;3;3,0
44;2;17;1;still;3;3;3,0
44;2;18;1;natur;2;2;2,0
44;2;18;1;unruhe;3;3;3,0
47;2;1;0;bernstein;2;2;2,0
47;2;1;0;grün;1;1;1,0
47;2;1;0;leichtdüsterestimmung;3;3;3,0
47;2;1;0;wald;2;2;2,0
47;2;2;0;malerisch;3;3;3,0
47;2;2;0;paris;2;2;2,0
47;2;2;0;regen;2;2;2,0
47;2;2;0;regenschirm;2;2;2,0
47;2;2;0;romantisch;2;2;2,0
47;2;3;0;dunkel;2;2;2,0
47;2;3;0;dunkel;2;2;2,0
47;2;3;0;düster;3;3;3,0
47;2;3;0;traurig;3;3;3,0
47;2;3;0;unfreundlich;3;3;3,0
47;2;3;0;unglücklich;3;3;3,0
47;2;3;0;wut;3;3;3,0
47;2;4;1;einladend;3;3;3,0
47;2;4;1;freundlich;3;3;3,0
47;2;4;1;friedlich;3;3;3,0
47;2;4;1;warm;3;3;3,0
47;2;5;1;warm;3;3;3,0
47;2;6;1;komisch;3;2;2,5
47;2;6;1;verwirrend;3;3;3,0
47;2;7;1;natur;2;2;2,0
47;2;7;1;uneinladend;3;3;3,0
47;2;8;1;dunkel;3;3;3,0
47;2;8;1;düster;3;3;3,0
47;2;8;1;traurig;3;3;3,0
47;2;9;1;freude;3;3;3,0
47;2;9;1;friedlich;3;3;3,0
47;2;9;1;liebe;3;3;3,0
47;2;9;1;paris;2;2;2,0
47;2;9;1;regnersich;3;3;3,0
47;2;9;1;romantisch;2;2;2,0
47;2;9;1;schöneatmospähre;2;2;2,0
47;2;9;1;warm;2;2;2,0
47;2;10;1;friedlich;3;3;3,0
47;2;10;1;herbst;2;2;2,0
47;2;10;1;liebe;3;3;3,0
47;2;10;1;warm;3;3;3,0
47;2;11;1;friedlich;3;3;3,0
47;2;11;1;kalt;2;2;2,0
47;2;11;1;meeresbrise;2;2;2,0
47;2;13;1;düster;3;3;3,0
47;2;13;1;warm;2;2;2,0
47;2;13;1;wüste;2;2;2,0
47;2;14;1;ausdruckslos;3;2;2,5
47;2;14;1;kalt;2;2;2,0
47;2;14;1;modern;2;2;2,0
47;2;14;1;nichtssagend;3;3;3,0
47;2;14;1;silber;2;2;2,0
47;2;15;1;regnersich;3;3;3,0
47;2;15;1;warm;3;3;3,0
47;2;16;1;blüten;2;2;2,0
47;2;16;1;entspannt;3;3;3,0
47;2;16;1;frieden;3;2;2,5
47;2;16;1;warm;2;2;2,0
47;2;17;1;glücklich;3;3;3,0
47;2;17;1;meer;2;2;2,0
47;2;17;1;meeresbrise;2;2;2,0
47;2;17;1;sonnig;2;2;2,0
47;2;17;1;warm;2;2;2,0
47;2;18;1;etwasdüster;3;2;2,5
47;2;18;1;warm;3;3;3,0
48;1;1;0;düster;2;2;2,0
48;1;1;0;unruhig;2;2;2,0
48;1;1;0;verlassen;2;2;2,0
48;1;2;0;glücklich;2;2;2,0
48;1;2;0;kalt;2;2;2,0
