user_id;condition;chosen_group;tags_tutorial;tags_basic;rating_tutorial_1;rating_tutorial_2;rating_tutorial_mean;rating_basic_1;rating_basic_2;rating_basic_mean;cc_usable;cc_comments;end_usable
21;5;0;7;77;2,7143;2,7143;2,7143;2,5584;2,6494;2,6039;1;;1
31;6;2;8;84;2,7500;2,8750;2,8125;2,4762;2,4405;2,4583;;;1
61;4;0;10;72;3,0000;3,0000;3,0000;2,8611;2,8333;2,8472;1;;1
81;6;2;15;64;2,9333;2,9333;2,9333;2,5469;2,6406;2,5938;;;1
181;6;2;8;65;3,0000;3,0000;3,0000;2,3846;2,3538;2,3692;;;1
191;4;0;5;77;2,6000;2,6000;2,6000;2,5455;2,5584;2,5519;1;;1
241;5;0;9;61;2,7778;2,5556;2,6667;2,8525;2,8852;2,8689;1;;1
261;5;0;12;93;2,0833;2,2500;2,1667;2,8710;2,9355;2,9032;1;;1
311;6;2;7;101;2,7143;2,8571;2,7857;2,4554;2,4257;2,4406;;;1
421;4;0;5;46;2,4000;2,6000;2,5000;2,8913;2,8913;2,8913;1;Es hat etwas gedauert bis mir mehr Stimmungen eingefallen sind die ich als Tags benutzen konnte.;1
431;6;2;8;58;2,8750;2,8750;2,8750;2,5000;2,6379;2,5690;;;1
461;6;2;8;52;2,7500;2,6250;2,6875;2,9038;2,9038;2,9038;;;1
471;6;2;5;57;1,6000;2,0000;1,8000;1,8947;2,0702;1,9825;;;1
501;4;0;2;15;3,0000;3,0000;3,0000;2,5333;2,5333;2,5333;1;;1
511;5;2;7;50;2,4286;2,4286;2,4286;2,9000;2,8800;2,8900;;;
521;5;2;6;;2,6667;2,6667;2,6667;NaN;NaN;NaN;;;
531;5;0;6;53;2,5000;2,5000;2,5000;2,1132;2,1509;2,1321;0;schöne Bilder, zu viele Fragen zum schluss;0
541;5;0;2;15;1,5000;2,0000;1,7500;2,3333;2,4000;2,3667;1;;1
551;5;0;2;;1,0000;1,0000;1,0000;NaN;NaN;NaN;1;;1
631;6;2;8;64;3,0000;3,0000;3,0000;2,4531;2,5625;2,5078;;;
691;6;2;11;17;2,6364;2,4545;2,5455;2,5882;2,6471;2,6176;;;
751;6;2;6;36;2,6667;2,8333;2,7500;2,8889;2,9444;2,9167;;;1
881;6;2;8;;2,8750;2,8750;2,8750;NaN;NaN;NaN;;;
931;6;2;4;34;3,0000;3,0000;3,0000;2,8235;2,8235;2,8235;;;
941;6;2;6;31;3,0000;3,0000;3,0000;2,9677;2,8710;2,9194;;;
951;6;2;6;36;2,6667;2,6667;2,6667;2,3056;2,3611;2,3333;;;
961;6;2;6;;2,6667;2,6667;2,6667;NaN;NaN;NaN;;;
1011;6;2;4;;1,5000;1,7500;1,6250;NaN;NaN;NaN;;;
1071;6;2;10;;2,0000;2,3000;2,1500;NaN;NaN;NaN;;;
1091;6;2;9;28;2,5556;2,8889;2,7222;2,2143;2,2857;2,2500;;;
1101;6;2;10;13;2,9000;2,9000;2,9000;2,8462;2,8462;2,8462;;;
1201;6;2;6;22;2,5000;2,8333;2,6667;2,4545;2,6364;2,5455;;;
1221;6;2;6;9;2,6667;2,8333;2,7500;2,4444;2,4444;2,4444;;;
1271;6;2;9;34;2,4444;2,4444;2,4444;2,3529;2,3824;2,3676;;;
1291;6;2;6;34;3,0000;3,0000;3,0000;2,8529;2,9118;2,8824;;;
1311;6;2;7;34;2,7143;2,8571;2,7857;2,8824;2,8824;2,8824;;;
1321;6;2;2;;3,0000;3,0000;3,0000;NaN;NaN;NaN;;;
1331;6;2;6;15;2,5000;2,5000;2,5000;2,9333;3,0000;2,9667;;;
1451;6;2;8;;2,3750;2,3750;2,3750;NaN;NaN;NaN;;;
1661;4;0;10;56;2,0000;2,1000;2,0500;2,1429;2,1786;2,1607;1;;1
1671;6;2;4;36;2,7500;2,7500;2,7500;2,5000;2,5833;2,5417;0;Das gefühlsmäßige Bewerten von Bildern als Spiel zu sehen ist interessant, allerdings wird nicht jeder ein ausreichenden Wortschatz aufweisen, um die Bilder angemessen und vollständig zu beschreiben. Deshalb sehe ich diese Anwendung eher als ein Gemeinschaftsspiel, wo nicht der Einzelne zählt.;1
1781;6;2;7;43;2,2857;2,2857;2,2857;2,5349;2,5116;2,5233;;;1
1801;6;2;7;29;2,7143;3,0000;2,8571;2,5862;2,7241;2,6552;0;;1
1871;6;2;4;;2,5000;2,7500;2,6250;NaN;NaN;NaN;;;
1911;6;2;1;;1,0000;1,0000;1,0000;NaN;NaN;NaN;;;
2001;6;2;9;;2,5556;2,4444;2,5000;NaN;NaN;NaN;;;
2031;6;2;10;;NaN;NaN;NaN;NaN;NaN;NaN;;;1
2091;6;2;8;;2,5000;2,2500;2,3750;NaN;NaN;NaN;;;
2151;6;2;2;5;1,5000;1,5000;1,5000;2,8000;3,0000;2,9000;;;
2191;6;2;7;28;2,2857;2,4286;2,3571;2,2500;2,4643;2,3571;;;
2211;6;2;5;33;2,0000;2,0000;2,0000;2,1818;2,2727;2,2273;;;
2221;6;2;10;;2,8000;2,8000;2,8000;NaN;NaN;NaN;;;
2231;6;2;14;;2,2857;2,3571;2,3214;NaN;NaN;NaN;;;
