user_id;start_time;first_pic_start;time_first_pic_end;kim_enjoyment_submitted;time_kim_enjoy_to_end;end_time;overall_time_in_sec
21;Mon Mar 28 2022 15:53:16 GMT+0200 (Mitteleuropäische Sommerzeit);Mon Mar 28 2022 15:57:59 GMT+0200 (Mitteleuropäische Sommerzeit);1583;Mon Mar 28 2022 15:59:15 GMT+0200 (Mitteleuropäische Sommerzeit);1507;Mon Mar 28 2022 16:24:22 GMT+0200 (Mitteleuropäische Sommerzeit);1866
31;Tue Mar 29 2022 06:00:17 GMT+0200 (Mitteleuropäische Sommerzeit);Tue Mar 29 2022 07:12:13 GMT+0200 (Mitteleuropäische Sommerzeit);1316;Tue Mar 29 2022 07:12:27 GMT+0200 (Mitteleuropäische Sommerzeit);1302;Tue Mar 29 2022 07:34:09 GMT+0200 (Mitteleuropäische Sommerzeit);5632
61;Tue Mar 29 2022 08:20:13 GMT+0200 (Mitteleuropäische Sommerzeit);Tue Mar 29 2022 08:22:25 GMT+0200 (Mitteleuropäische Sommerzeit);936;Tue Mar 29 2022 08:23:07 GMT+0200 (Mitteleuropäische Sommerzeit);894;Tue Mar 29 2022 08:38:01 GMT+0200 (Mitteleuropäische Sommerzeit);1068
81;Tue Mar 29 2022 09:45:47 GMT+0200 (Mitteleuropäische Sommerzeit);Tue Mar 29 2022 09:50:01 GMT+0200 (Mitteleuropäische Sommerzeit);1867;Tue Mar 29 2022 09:50:30 GMT+0200 (Mitteleuropäische Sommerzeit);1838;Tue Mar 29 2022 10:21:08 GMT+0200 (Mitteleuropäische Sommerzeit);2121
181;Wed Mar 30 2022 09:30:43 GMT+0200 (Mitteleuropäische Sommerzeit);Wed Mar 30 2022 09:54:56 GMT+0200 (Mitteleuropäische Sommerzeit);1797;Wed Mar 30 2022 09:55:20 GMT+0200 (Mitteleuropäische Sommerzeit);1773;Wed Mar 30 2022 10:24:53 GMT+0200 (Mitteleuropäische Sommerzeit);3250
191;Wed Mar 30 2022 15:13:55 GMT+0200 (Mitteleuropäische Sommerzeit);Wed Mar 30 2022 15:16:09 GMT+0200 (Mitteleuropäische Sommerzeit);861;Wed Mar 30 2022 15:17:07 GMT+0200 (Mitteleuropäische Sommerzeit);803;Wed Mar 30 2022 15:30:30 GMT+0200 (Mitteleuropäische Sommerzeit);995
241;Wed Mar 30 2022 16:56:02 GMT+0200 (Mitteleuropäische Sommerzeit);Fri Apr 01 2022 07:41:51 GMT+0200 (Mitteleuropäische Sommerzeit);1147;Fri Apr 01 2022 07:44:45 GMT+0200 (Mitteleuropäische Sommerzeit);973;Fri Apr 01 2022 08:00:58 GMT+0200 (Mitteleuropäische Sommerzeit);140696
261;Wed Mar 30 2022 17:37:04 GMT+0200 (Mitteleuropäische Sommerzeit);Wed Mar 30 2022 17:38:32 GMT+0200 (Mitteleuropäische Sommerzeit);1224;Wed Mar 30 2022 17:39:40 GMT+0200 (Mitteleuropäische Sommerzeit);1156;Wed Mar 30 2022 17:58:56 GMT+0200 (Mitteleuropäische Sommerzeit);1312
311;Wed Mar 30 2022 19:28:00 GMT+0200 (Mitteleuropäische Sommerzeit);Wed Mar 30 2022 19:29:23 GMT+0200 (Mitteleuropäische Sommerzeit);952;Wed Mar 30 2022 19:29:39 GMT+0200 (Mitteleuropäische Sommerzeit);936;Wed Mar 30 2022 19:45:15 GMT+0200 (Mitteleuropäische Sommerzeit);1035
421;Thu Mar 31 2022 18:53:00 GMT+0200 (Mitteleuropäische Sommerzeit);Thu Mar 31 2022 18:56:26 GMT+0200 (Mitteleuropäische Sommerzeit);1575;Thu Mar 31 2022 18:57:56 GMT+0200 (Mitteleuropäische Sommerzeit);1485;Thu Mar 31 2022 19:22:41 GMT+0200 (Mitteleuropäische Sommerzeit);1781
431;Fri Apr 01 2022 13:59:41 GMT+0200 (Mitteleuropäische Sommerzeit);Fri Apr 01 2022 14:19:50 GMT+0200 (Mitteleuropäische Sommerzeit);20301;Fri Apr 01 2022 14:20:13 GMT+0200 (Mitteleuropäische Sommerzeit);20278;Fri Apr 01 2022 19:58:11 GMT+0200 (Mitteleuropäische Sommerzeit);21510
461;Sun Apr 03 2022 18:15:32 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Apr 03 2022 18:16:54 GMT+0200 (Mitteleuropäische Sommerzeit);634;Sun Apr 03 2022 18:17:04 GMT+0200 (Mitteleuropäische Sommerzeit);624;Sun Apr 03 2022 18:27:28 GMT+0200 (Mitteleuropäische Sommerzeit);716
471;Sun Apr 03 2022 18:18:48 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Apr 03 2022 18:24:48 GMT+0200 (Mitteleuropäische Sommerzeit);3184;Sun Apr 03 2022 18:25:36 GMT+0200 (Mitteleuropäische Sommerzeit);3136;Sun Apr 03 2022 19:17:52 GMT+0200 (Mitteleuropäische Sommerzeit);3544
501;Mon Apr 04 2022 06:11:48 GMT+0200 (Mitteleuropäische Sommerzeit);Mon Apr 04 2022 06:13:54 GMT+0200 (Mitteleuropäische Sommerzeit);906;Mon Apr 04 2022 06:14:58 GMT+0200 (Mitteleuropäische Sommerzeit);842;Mon Apr 04 2022 06:29:00 GMT+0200 (Mitteleuropäische Sommerzeit);1032
541;Mon Apr 04 2022 08:50:46 GMT+0200 (Mitteleuropäische Sommerzeit);Mon Apr 04 2022 08:52:26 GMT+0200 (Mitteleuropäische Sommerzeit);1046;Mon Apr 04 2022 08:53:18 GMT+0200 (Mitteleuropäische Sommerzeit);994;Mon Apr 04 2022 09:09:52 GMT+0200 (Mitteleuropäische Sommerzeit);1146
751;Mon Apr 04 2022 13:55:08 GMT+0200 (Mitteleuropäische Sommerzeit);Mon Apr 04 2022 13:56:24 GMT+0200 (Mitteleuropäische Sommerzeit);557;Mon Apr 04 2022 13:56:33 GMT+0200 (Mitteleuropäische Sommerzeit);548;Mon Apr 04 2022 14:05:41 GMT+0200 (Mitteleuropäische Sommerzeit);633
1661;Mon Apr 04 2022 14:23:48 GMT+0200 (Mitteleuropäische Sommerzeit);Mon Apr 04 2022 14:25:08 GMT+0200 (Mitteleuropäische Sommerzeit);730;Mon Apr 04 2022 14:26:06 GMT+0200 (Mitteleuropäische Sommerzeit);672;Mon Apr 04 2022 14:37:18 GMT+0200 (Mitteleuropäische Sommerzeit);810
1781;Mon Apr 04 2022 14:29:54 GMT+0200 (Mitteleuropäische Sommerzeit);Mon Apr 04 2022 14:36:45 GMT+0200 (Mitteleuropäische Sommerzeit);2204;Mon Apr 04 2022 14:37:13 GMT+0200 (Mitteleuropäische Sommerzeit);2176;Mon Apr 04 2022 15:13:29 GMT+0200 (Mitteleuropäische Sommerzeit);2615
2031;Mon Apr 04 2022 14:41:44 GMT+0200 (Mitteleuropäische Sommerzeit);Mon May 16 2022 18:20:25 GMT+0200 (Mitteleuropäische Sommerzeit);268;Mon May 16 2022 18:20:32 GMT+0200 (Mitteleuropäische Sommerzeit);261;Mon May 16 2022 18:24:53 GMT+0200 (Mitteleuropäische Sommerzeit);3642189
2381;Mon Apr 04 2022 15:21:01 GMT+0200 (Mitteleuropäische Sommerzeit);Mon Apr 04 2022 15:23:51 GMT+0200 (Mitteleuropäische Sommerzeit);1664;Mon Apr 04 2022 15:25:03 GMT+0200 (Mitteleuropäische Sommerzeit);1592;Mon Apr 04 2022 15:51:35 GMT+0200 (Mitteleuropäische Sommerzeit);1834
2451;Mon Apr 04 2022 15:31:37 GMT+0200 (Mitteleuropäische Sommerzeit);Mon Apr 04 2022 15:32:21 GMT+0200 (Mitteleuropäische Sommerzeit);1115;Mon Apr 04 2022 15:33:11 GMT+0200 (Mitteleuropäische Sommerzeit);1065;Mon Apr 04 2022 15:50:56 GMT+0200 (Mitteleuropäische Sommerzeit);1159
2461;Mon Apr 04 2022 15:32:17 GMT+0200 (Mitteleuropäische Sommerzeit);Mon Apr 04 2022 15:53:50 GMT+0200 (Mitteleuropäische Sommerzeit);1848;Mon Apr 04 2022 15:55:33 GMT+0200 (Mitteleuropäische Sommerzeit);1745;Mon Apr 04 2022 16:24:38 GMT+0200 (Mitteleuropäische Sommerzeit);3141
2511;Mon Apr 04 2022 15:43:48 GMT+0200 (Mitteleuropäische Sommerzeit);Mon Apr 04 2022 15:50:31 GMT+0200 (Mitteleuropäische Sommerzeit);1194;Mon Apr 04 2022 15:51:41 GMT+0200 (Mitteleuropäische Sommerzeit);1124;Mon Apr 04 2022 16:10:25 GMT+0200 (Mitteleuropäische Sommerzeit);1597
2681;Mon Apr 04 2022 16:12:51 GMT+0200 (Mitteleuropäische Sommerzeit);Mon Apr 04 2022 16:14:16 GMT+0200 (Mitteleuropäische Sommerzeit);1853;Mon Apr 04 2022 16:14:31 GMT+0200 (Mitteleuropäische Sommerzeit);1838;Mon Apr 04 2022 16:45:09 GMT+0200 (Mitteleuropäische Sommerzeit);1938
2781;Mon Apr 04 2022 16:29:54 GMT+0200 (Mitteleuropäische Sommerzeit);Mon Apr 04 2022 16:34:43 GMT+0200 (Mitteleuropäische Sommerzeit);805;Mon Apr 04 2022 16:35:07 GMT+0200 (Mitteleuropäische Sommerzeit);781;Mon Apr 04 2022 16:48:08 GMT+0200 (Mitteleuropäische Sommerzeit);1094
2801;Mon Apr 04 2022 16:33:47 GMT+0200 (Mitteleuropäische Sommerzeit);Mon Apr 04 2022 16:35:30 GMT+0200 (Mitteleuropäische Sommerzeit);888;Mon Apr 04 2022 16:36:51 GMT+0200 (Mitteleuropäische Sommerzeit);807;Mon Apr 04 2022 16:50:18 GMT+0200 (Mitteleuropäische Sommerzeit);991
2871;Mon Apr 04 2022 16:59:00 GMT+0200 (Mitteleuropäische Sommerzeit);Mon Apr 04 2022 17:07:04 GMT+0200 (Mitteleuropäische Sommerzeit);3449;Mon Apr 04 2022 17:08:47 GMT+0200 (Mitteleuropäische Sommerzeit);3346;Mon Apr 04 2022 18:04:33 GMT+0200 (Mitteleuropäische Sommerzeit);3933
