user_id;start_time;first_pic_start;time_first_pic_end;kim_enjoyment_submitted;time_kim_enjoy_to_end;end_time;overall_time_in_sec
6501;Sun May 01 2022 18:34:26 GMT+0200 (Mitteleuropäische Sommerzeit);Sun May 01 2022 18:39:50 GMT+0200 (Mitteleuropäische Sommerzeit);998;Sun May 01 2022 18:40:21 GMT+0200 (Mitteleuropäische Sommerzeit);967;Sun May 01 2022 18:56:28 GMT+0200 (Mitteleuropäische Sommerzeit);1322
6561;Tue May 03 2022 14:01:29 GMT+0200 (Mitteleuropäische Sommerzeit);Tue May 03 2022 14:03:49 GMT+0200 (Mitteleuropäische Sommerzeit);583;Tue May 03 2022 14:04:08 GMT+0200 (Mitteleuropäische Sommerzeit);564;Tue May 03 2022 14:13:32 GMT+0200 (Mitteleuropäische Sommerzeit);723
6571;Tue May 03 2022 14:31:29 GMT+0200 (Mitteleuropäische Sommerzeit);Tue May 03 2022 14:31:49 GMT+0200 (Mitteleuropäische Sommerzeit);391;Tue May 03 2022 14:32:00 GMT+0200 (Mitteleuropäische Sommerzeit);380;Tue May 03 2022 14:38:20 GMT+0200 (Mitteleuropäische Sommerzeit);411
6581;Tue May 03 2022 15:40:38 GMT+0200 (Mitteleuropäische Sommerzeit);Tue May 03 2022 15:41:52 GMT+0200 (Mitteleuropäische Sommerzeit);337;Tue May 03 2022 15:42:09 GMT+0200 (Mitteleuropäische Sommerzeit);320;Tue May 03 2022 15:47:29 GMT+0200 (Mitteleuropäische Sommerzeit);411
6621;Tue May 03 2022 15:57:20 GMT+0200 (Mitteleuropäische Sommerzeit);Tue May 03 2022 16:09:02 GMT+0200 (Mitteleuropäische Sommerzeit);475;Tue May 03 2022 16:09:13 GMT+0200 (Mitteleuropäische Sommerzeit);464;Tue May 03 2022 16:16:57 GMT+0200 (Mitteleuropäische Sommerzeit);1177
6701;Tue May 03 2022 18:38:49 GMT+0200 (Mitteleuropäische Sommerzeit);Tue May 03 2022 18:43:17 GMT+0200 (Mitteleuropäische Sommerzeit);575;Tue May 03 2022 18:43:29 GMT+0200 (Mitteleuropäische Sommerzeit);563;Tue May 03 2022 18:52:52 GMT+0200 (Mitteleuropäische Sommerzeit);843
6711;Tue May 03 2022 18:40:59 GMT+0200 (Mitteleuropäische Sommerzeit);Tue May 03 2022 18:45:37 GMT+0200 (Mitteleuropäische Sommerzeit);397;Tue May 03 2022 18:45:51 GMT+0200 (Mitteleuropäische Sommerzeit);383;Tue May 03 2022 18:52:14 GMT+0200 (Mitteleuropäische Sommerzeit);675
6791;Wed May 04 2022 23:38:25 GMT+0200 (Mitteleuropäische Sommerzeit);Wed May 04 2022 23:39:32 GMT+0200 (Mitteleuropäische Sommerzeit);426;Wed May 04 2022 23:39:50 GMT+0200 (Mitteleuropäische Sommerzeit);408;Wed May 04 2022 23:46:38 GMT+0200 (Mitteleuropäische Sommerzeit);493
6811;Thu May 05 2022 18:21:51 GMT+0200 (Mitteleuropäische Sommerzeit);Thu May 05 2022 18:24:56 GMT+0200 (Mitteleuropäische Sommerzeit);513;Thu May 05 2022 18:25:13 GMT+0200 (Mitteleuropäische Sommerzeit);496;Thu May 05 2022 18:33:29 GMT+0200 (Mitteleuropäische Sommerzeit);698
6861;Fri May 06 2022 14:06:10 GMT+0200 (Mitteleuropäische Sommerzeit);Fri May 06 2022 14:10:09 GMT+0200 (Mitteleuropäische Sommerzeit);771;Fri May 06 2022 14:10:40 GMT+0200 (Mitteleuropäische Sommerzeit);740;Fri May 06 2022 14:23:00 GMT+0200 (Mitteleuropäische Sommerzeit);1010
6891;Fri May 06 2022 14:47:22 GMT+0200 (Mitteleuropäische Sommerzeit);Fri May 06 2022 14:48:43 GMT+0200 (Mitteleuropäische Sommerzeit);260;Fri May 06 2022 14:48:55 GMT+0200 (Mitteleuropäische Sommerzeit);248;Fri May 06 2022 14:53:03 GMT+0200 (Mitteleuropäische Sommerzeit);341
7241;Tue May 10 2022 13:38:06 GMT+0200 (Mitteleuropäische Sommerzeit);Tue May 10 2022 13:40:21 GMT+0200 (Mitteleuropäische Sommerzeit);696;Tue May 10 2022 13:40:53 GMT+0200 (Mitteleuropäische Sommerzeit);664;Tue May 10 2022 13:51:57 GMT+0200 (Mitteleuropäische Sommerzeit);831
