uid;iid;tag;rating1;rating2
21;1;nächtlich;3;3
21;1;hell;3;3
21;1;mystisch;2;2
21;2;melanchonisch;3;3
21;2;verregnet;2;2
21;2;trauernd;3;3
21;2;zurückgezogen;3;3
21;4;beendet;1;1
21;4;idyllisch;3;3
21;4;weit;2;2
21;4;einladend;3;3
21;4;ländlich;2;2
21;5;naturbelassen;2;2
21;5;herbstlich;3;3
21;5;tröstlich;3;3
21;5;eng;2;2
21;6;fruchtig;2;2
21;6;reich;2;2
21;6;tropisch;3;3
21;6;wertvoll;2;2
21;7;naturbelassen;2;2
21;7;idyllisch;3;3
21;7;warm;3;3
21;7;genügsam;3;3
21;7;isoliert;2;2
21;7;zweisamkeit;3;3
21;8;verregnet;3;3
21;8;magisch;2;3
21;8;verloren;3;3
21;8;vergessen;3;3
21;8;unsehnlich;1;1
21;9;zweisamkeit;3;3
21;9;regnerisch;3;3
21;9;natürlich;3;3
21;9;idyllisch;3;3
21;9;gemeinsam;3;3
21;10;zweisamkeit;3;3
21;10;herbstlich;3;3
21;10;naturbelassen;2;2
21;10;verloren;3;3
21;10;suchend;2;2
21;11;schneebedeckt;2;2
21;11;idyllisch;3;3
21;11;vergessen;3;3
21;11;ruhig;3;3
21;11;allein;3;3
21;11;einsamkeit;3;3
21;12;orientalisch;2;2
21;12;traditionell;2;2
21;12;melanchonisch;3;3
21;12;nachdenklich;3;3
21;12;einsam;3;3
21;12;traumhaft;2;2
21;13;kahl;2;3
21;13;ziellos;2;3
21;13;verloren;3;3
21;13;verfehlt;1;1
21;14;modern;2;2
21;14;futuristisch;2;2
21;14;kühl;3;3
21;14;technologisch;2;2
21;14;abgeschottet;3;3
21;14;verloren;3;3
21;14;kalt;3;3
21;15;nächtlich;3;3
21;15;ruhe;3;3
21;15;bewegend;3;3
21;15;malerisch;3;2
21;15;sehnsucht;3;3
21;16;orientalisch;2;2
21;16;nächtlich;3;3
21;16;verlassen;3;3
21;16;isoliert;3;3
21;16;poetisch;2;3
21;17;idyllisch;3;3
21;17;warm;3;3
21;17;erfreut;3;3
21;17;wandelnd;2;3
21;17;poetisch;2;3
21;18;leuchtend;2;3
21;18;dämmernd;2;3
21;18;naturbelassen;2;2
21;18;friedlich;3;3
21;18;idyllisch;3;3
31;1;verlassen;3;3
31;1;ruhig;3;3
31;1;erleuchtet;2;3
31;1;nächtlich;3;3
31;2;bunt;2;2
31;2;stimmungsvoll;3;3
31;2;nächtlich;3;3
31;2;festlich;3;3
31;4;Steg;2;2
31;4;Hafen;2;2
31;4;Sonnenuntergang;2;2
31;4;romantisch;3;3
31;4;weitläufig;3;2
31;4;maritim;3;3
31;5;nichtssagend;3;3
31;5;naturnah;3;3
31;5;leer;2;2
31;5;Wandern;2;2
31;5;grün;2;2
31;6;bunt;2;2
31;6;Zellen;2;2
31;6;Kreise;2;2
31;6;unterschiedlich;2;2
31;6;unruhig;3;3
31;6;lebendig;3;3
31;7;sommerlich;3;3
31;7;naturnah;3;3
31;7;zweisam;3;3
31;7;Picknick;2;2
31;7;hell;3;3
31;8;unruhig;3;3
31;8;farblos;2;2
31;8;durcheinander;3;3
31;8;nichtssagend;3;3
31;9;herbstlich;3;3
31;9;romantisch;3;3
31;9;weitläufig;2;2
31;9;kreativ;3;3
31;9;erzählerisch;3;3
31;9;malerisch;2;2
31;10;herbstlich;3;3
31;10;weitläufig;2;2
31;10;romantisch;3;3
31;10;erzählerisch;3;3
31;10;bildhaft;2;2
31;10;malerisch;3;3
31;11;winterlich;2;2
31;11;weihnachtlich;3;3
31;11;isoliert;3;2
31;11;weitläufig;2;2
31;11;kalt;3;3
31;11;entfernt;2;2
31;12;menschlich;2;2
31;12;asiatisch;2;2
31;12;organisch;2;2
31;12;warm;3;3
31;12;natürlich;3;3
31;12;portraithaft;2;2
31;12;harmonisch;3;3
31;13;warm;3;3
31;13;harmonisch;3;3
31;13;einheitlich;3;2
31;13;wüstenartig;2;2
31;14;leer;2;2
31;14;weiträumig;2;2
31;14;weiß;1;1
31;14;detailarm;1;2
31;14;interpretativ;2;2
31;15;Spaziergang;2;2
31;15;nächtlich;3;3
31;15;erleuchtet;3;3
31;15;einsam;3;3
31;15;städtisch;2;2
31;15;kalt;3;3
31;16;stimmungsvoll;3;3
31;16;simplistisch;3;2
31;16;silhouettenhaft;2;2
31;16;warm;3;3
31;16;abendlich;3;3
31;16;organisch;2;2
31;17;Sonnenuntergang;2;2
31;17;weitläufig;2;2
31;17;Boot;2;2
31;17;Segeln;2;2
31;17;romantisch;3;3
31;17;aufbruchhaft;3;3
31;18;bräunlich;2;2
31;18;dreckig;2;2
31;18;fleckig;2;2
31;18;gespiegelt;2;2
31;18;verschmiert;2;2
31;18;unangenehm;3;3
61;1;beengt;3;3
61;1;düster;3;3
61;1;erdrückend;3;3
61;1;ruhig;3;3
61;1;einsam;3;3
61;2;herbstlich;3;3
61;2;romantisch;3;3
61;2;träumerisch;3;3
61;2;regnerisch;3;3
61;2;gemütlich;3;3
61;4;friedlich;3;3
61;4;gelassen;3;3
61;4;ruhig;3;3
61;4;entspannt;3;3
61;4;nachdenklich;3;3
61;5;unruhig;3;3
61;5;herbstlich;3;3
61;5;bedrohlich;3;3
61;5;gefährlich;3;3
61;5;unwohl;3;3
61;6;gesellig;3;3
61;6;bunt;2;2
61;6;fröhlich;3;3
61;7;einsam;3;3
61;7;traurig;3;3
61;7;dankbar;3;3
61;7;friedlich;3;3
61;7;entspannt;3;3
61;8;unruhig;3;3
61;8;nachdenklich;3;3
61;8;grau;2;2
61;8;trüb;3;3
61;9;verträumt;3;3
61;9;friedlich;3;3
61;9;romantisch;3;3
61;9;ruhig;3;3
61;9;regnerisch;3;3
61;10;herbstlich;3;3
61;10;verträumt;3;3
61;10;romantisch;3;3
61;10;ruhig;3;3
61;10;humorvoll;3;3
61;10;lächeln;3;2
61;11;ruhig;3;3
