user_id;condition;tags_img_1;tags_img_2;tags_img_3;tags_img_4;tags_img_5;tags_img_6;tags_img_7;tags_img_8;tags_img_9;tags_img_10;tags_img_11;tags_img_12;tags_img_13;tags_img_14;tags_img_15
21;5;5,00;4,00;4,00;6,00;5,00;5,00;5,00;6,00;6,00;4,00;7,00;5,00;5,00;5,00;5,00
31;6;6,00;5,00;6,00;5,00;4,00;6,00;6,00;6,00;7,00;4,00;5,00;6,00;6,00;6,00;6,00
61;4;5,00;5,00;3,00;5,00;4,00;5,00;6,00;3,00;6,00;6,00;4,00;6,00;5,00;5,00;4,00
81;6;4,00;7,00;3,00;4,00;7,00;3,00;6,00;2,00;3,00;6,00;3,00;5,00;2,00;3,00;6,00
181;6;6,00;2,00;4,00;3,00;3,00;5,00;0;4,00;3,00;4,00;0;4,00;5,00;5,00;17,00
191;4;6,00;5,00;5,00;7,00;5,00;4,00;5,00;6,00;4,00;5,00;5,00;5,00;4,00;7,00;4,00
241;5;4,00;2,00;4,00;4,00;4,00;5,00;6,00;5,00;5,00;3,00;4,00;4,00;3,00;5,00;3,00
261;5;6,00;6,00;4,00;8,00;5,00;6,00;6,00;6,00;3,00;11,00;13,00;6,00;5,00;5,00;3,00
311;6;9,00;4,00;8,00;8,00;5,00;7,00;8,00;7,00;7,00;10,00;7,00;5,00;2,00;8,00;6,00
421;4;4,00;5,00;3,00;5,00;2,00;4,00;3,00;1,00;3,00;2,00;2,00;3,00;1,00;5,00;3,00
461;6;5,00;3,00;4,00;4,00;3,00;4,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;4,00;4,00
471;6;4,00;3,00;2,00;6,00;3,00;3,00;6,00;4,00;4,00;3,00;5,00;6,00;2,00;4,00;2,00
501;4;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00
541;5;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00
751;6;1,00;6,00;1,00;5,00;2,00;4,00;6,00;1,00;1,00;0;2,00;2,00;0;3,00;2,00
1661;4;4,00;3,00;5,00;0;4,00;3,00;4,00;5,00;3,00;6,00;4,00;4,00;4,00;3,00;4,00
1781;6;1,00;3,00;2,00;0;3,00;3,00;4,00;4,00;4,00;4,00;3,00;2,00;5,00;3,00;2,00
2381;4;11,00;4,00;8,00;6,00;3,00;7,00;11,00;8,00;7,00;12,00;11,00;9,00;5,00;5,00;7,00
2451;4;4,00;3,00;1,00;4,00;3,00;5,00;3,00;3,00;3,00;2,00;5,00;3,00;2,00;3,00;4,00
