user_id;condition;chosen_group;tags_tutorial;tags_basic;rating_tutorial_1;rating_tutorial_2;rating_tutorial_mean;rating_basic_1;rating_basic_2;rating_basic_mean;cc_usable;cc_comments;end_usable
21;5;0;7;77;NaN;NaN;NaN;NaN;NaN;NaN;1;;1
31;6;2;8;84;NaN;NaN;NaN;NaN;NaN;NaN;;;1
61;4;0;10;72;NaN;NaN;NaN;NaN;NaN;NaN;1;;1
81;6;2;15;64;NaN;NaN;NaN;NaN;NaN;NaN;;;1
181;6;2;8;65;NaN;NaN;NaN;NaN;NaN;NaN;;;1
191;4;0;5;77;NaN;NaN;NaN;NaN;NaN;NaN;1;;1
241;5;0;9;61;NaN;NaN;NaN;NaN;NaN;NaN;1;;1
261;5;0;12;93;NaN;NaN;NaN;NaN;NaN;NaN;1;;1
311;6;2;7;101;NaN;NaN;NaN;NaN;NaN;NaN;;;1
421;4;0;5;46;NaN;NaN;NaN;NaN;NaN;NaN;1;Es hat etwas gedauert bis mir mehr Stimmungen eingefallen sind die ich als Tags benutzen konnte.;1
431;6;2;8;58;NaN;NaN;NaN;NaN;NaN;NaN;;;1
461;6;2;8;52;NaN;NaN;NaN;NaN;NaN;NaN;;;1
471;6;2;5;57;NaN;NaN;NaN;NaN;NaN;NaN;;;1
501;4;0;2;15;NaN;NaN;NaN;NaN;NaN;NaN;1;;1
511;5;2;7;50;NaN;NaN;NaN;NaN;NaN;NaN;;;
521;5;2;6;;NaN;NaN;NaN;NaN;NaN;NaN;;;
531;5;0;6;53;NaN;NaN;NaN;NaN;NaN;NaN;0;schöne Bilder, zu viele Fragen zum schluss;0
541;5;0;2;15;NaN;NaN;NaN;NaN;NaN;NaN;1;;1
551;5;0;2;;NaN;NaN;NaN;NaN;NaN;NaN;1;;1
631;6;2;8;64;NaN;NaN;NaN;NaN;NaN;NaN;;;
691;6;2;11;17;NaN;NaN;NaN;NaN;NaN;NaN;;;
751;6;2;6;36;NaN;NaN;NaN;NaN;NaN;NaN;;;1
881;6;2;8;;NaN;NaN;NaN;NaN;NaN;NaN;;;
931;6;2;4;34;NaN;NaN;NaN;NaN;NaN;NaN;;;
941;6;2;6;31;NaN;NaN;NaN;NaN;NaN;NaN;;;
951;6;2;6;36;NaN;NaN;NaN;NaN;NaN;NaN;;;
961;6;2;6;;NaN;NaN;NaN;NaN;NaN;NaN;;;
1011;6;2;4;;NaN;NaN;NaN;NaN;NaN;NaN;;;
1071;6;2;10;;NaN;NaN;NaN;NaN;NaN;NaN;;;
1091;6;2;9;28;NaN;NaN;NaN;NaN;NaN;NaN;;;
1101;6;2;10;13;NaN;NaN;NaN;NaN;NaN;NaN;;;
1201;6;2;6;22;NaN;NaN;NaN;NaN;NaN;NaN;;;
1221;6;2;6;9;NaN;NaN;NaN;NaN;NaN;NaN;;;
1271;6;2;9;34;NaN;NaN;NaN;NaN;NaN;NaN;;;
1291;6;2;6;34;NaN;NaN;NaN;NaN;NaN;NaN;;;
1311;6;2;7;34;NaN;NaN;NaN;NaN;NaN;NaN;;;
1321;6;2;2;;NaN;NaN;NaN;NaN;NaN;NaN;;;
