user_id;condition;chosen_group;tutorial;age;sex;sex[freetext];nationality;nationality[freetext];url_where_from;url_where_from[freetext];tags_tutorial.Anzahl Tags im Tutorial;tags_basic.Anzahl Tags in Main Task;rating_tutorial_1. Rating der Tutorial Tags Dennis;rating_tutorial_2. Rating der Tutorial Tags Luis;rating_tutorial_mean. Rating der Tutorial Tags Durchschnitt;rating_basic_1. Rating der Main Task Tags Dennis;rating_basic_2. Rating der Main Task Tags Luis;rating_basic_mean. Rating der Main Task Tags Durchschnitt;KIM_enjoyment_1. Gesamtrating KIM enjoyment nach Tutorial_1; KIM_enjoyment_2. Gesamtrating KIM enjoyment nach Tutorial_2;IMI_interest_enjoyment. Gesamtrating KIM enjoyment nach Main Task;IMI_perceived_competence. Gesamtrating KIM competence nach Main Task ;IMI_perceived_choice. Gesamtrating KIM choice nach Main Task;IMI_pressure_tension. Gesamtrating KIM pressure nach Main Task;tp_boring. Ich fand die Aufgabe langweilig. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];tp_important. Es war wichtig für mich, so viele Tags wie möglich zu erstellen. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];lbg_1_leaderboard. Ich mochte es, mich mit anderen auf einer Bestenliste zu vergleichen. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];lbg_2_motivated. Mich mit anderen auf einer Bestenliste vergleichen zu können, hat mich motiviert, mehr Tags zu erstellen. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];lbg_3_motivating_in_general. Ich finde den Vergleich mit anderen auf einer Bestenliste allgemein motivierend. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];lbg_4_distracted. Ich fühlte mich durch die Bestenliste abgelenkt. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];lbg_5_design. Mir hat das Aussehen der Bestenliste gefallen. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];lbs_absolute. Ich mochte es, dass auf der Bestenliste alle Spieler gleichzeitig angezeigt wurden. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];lbs_relative. Ich mochte es, dass auf der Bestenliste nur die Spieler angezeigt wurden, welche direkt über und unter mir platziert waren. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];lbs_rel_more_less. Hätte ich gewusst, wie weit Platz 1 entfernt ist, hätte ich mich ... angestrengt. [Weniger, Etwas weniger, Weder mehr noch weniger, Etwas mehr, Mehr];lbs_absolute_chosen_explain. Warum hast du die Bestenliste ausgewählt, welche alle Spieler gleichzeitig angezeigt hat, anstatt der Bestenliste, welche nur die Spieler angezeigt hat welche direkt über und unter du platziert waren? [Freitext];lbs_relative_chosen_explain. Warum hast du die Bestenliste ausgewählt, welche nur die Spieler angezeigt hat welche direkt über und unter Ihnen platziert waren, anstatt der Bestenliste welche alle Spieler gleichzeitig angezeigt hat? [Freitext];choice_tutorial. Das Tutorial half mir, meine Wahlmöglichkeiten zu verstehen. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];choice_overstained. Ich fühlte mich überfordert zu entscheiden, welche Version der Bestenliste ich verwenden möchte. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];choice_satisfied. Ich war mit der getroffenen Wahl, bezüglich der verschiedenen Versionen der Bestenliste zufrieden. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];choice_liked. Ich finde es gut, dass ich entscheiden konnte welche Version der Bestenliste verwendet wurde. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];choice_motivated. Ich fühlte mich durch die Wahlmöglichkeit, welche Version der Bestenliste ich verwenden möchte, motiviert, die Aufgabe gut zu erfüllen. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];choice_more_options. Ich hätte gerne noch weitere Entscheidungsmöglichkeiten gehabt. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];choice_ideas. Welche weiteren Entscheidungsmöglichkeiten hätten Sie gerne gehabt? [Freitext];choice_none_extra_elements. Ich hätte es gut gefunden, wenn die Aufgabe zusätzliche Elemente gehabt hätte (z. B. Punkte für jeden Tag erhalten, oder eine Bestenliste um meine Leistung mit anderen Spielern zu vergleichen). [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];choice_abs_first_options. Hier siehst du eine Bestenliste, welche alle Spieler anzeigt, und die Bestenliste, welche du verwendet hast. Hättest du gerne die Option gehabt zwischen diesen Bestenlisten zu wählen? [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];choice_rel_first_options. Hier siehst du eine Bestenliste, welche nur die Spieler anzeigt, welche direkt über und unter dir platziert sind, und die Bestenliste, welche du verwendet hast. Hättest du gerne die Option gehabt zwischen diesen Bestenlisten zu wählen? [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];choice_none_options. Hier siehst du zwei verschiedene Bestenlisten. Hättest du gerne die Option gehabt zwischen diesen Bestenlisten zu wählen? [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];choice_none_decide. Angenommen, du hättest diese Auswahl gehabt, welche der Bestenlisten hättest du gewählt? [Links(Relativ)/Rechts(Absolut)];choice_none_explain. Warum hättest du diese Version der Bestenliste gewählt [Freitext];basics_gaming_time. Wie viele Stunden pro Woche spielst du im Schnitt Spiele (egal ob analog oder digital)? [keine, weniger als 1, 1-3, 4-10, 11-15, 16-20, 21-25, mehr als 26, Möchte ich nicht beantworten];basics_gamification_experience. Unter "Gamification" versteht man den Einsatz spieltypischer Elemente (z.B. Punk- te/Bestenlisten) in spielfremden Umgebungen zur Verhaltensänderung und zur Steigerung der Motivation (z.B. Vergabe von Punkten in Fitnessapps). Hast du in der Vergangenheit Erfahrungen mit gamifizierten Systemen gemacht? [No/Yes];basics_gami_exp_except_study. Unter "Gamification" versteht man den Einsatz spieltypischer Elemente (z.B. Punk- te/Bestenlisten) in spielfremden Umgebungen zur Verhaltensänderung und zur Steigerung der Motivation (z.B. Vergabe von Punkten in Fitnessapps). Hast du, abgesehen von der Gamifizierung, die in dieser Studie angeboten bzw. genutzt wurde, in der Vergangenheit Erfahrungen mit gamifizierten Systemen gemacht? [No/Yes];basics_gami_used. Ich hätte es bei der Aufgabe in dieser Studie gut gefunden, wenn Gamification verwendet worden wäre. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];basics_gami_good. Ich fand die in dieser Studie angebotene Gamification gut [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];basics_gami_general_liking. Ich verwende gerne gamifizierte Systeme. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];basics_game_affinity. Ich halte mich selbst für spielaffin. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];basics_video_game_frequency. Ich spiele häufig Videospiele. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];basics_video_game_passion. Ich habe eine Leidenschaft für Videospiele. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];basics_board_game_frequency. Ich spiele häufig Brettspiele. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];basics_board_game_passion. Ich habe eine Leidenschaft für Brettspiele. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];basics_game_performance. Es ist mir in Spielen allgemein wichtig, gute Leistungen zu bringen. [Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu];cc_usable;cc_comments
21;5;0;0;2;1;;0;Deutsch;1;;7;77;2,7143;2,7143;2,7143;2,5584;2,6494;2,6039;13;;12;12;12;7;1;2;4;2;3;4;4;;5;4;;;;;;;;;;;4;;;;;7;;1;;3;4;5;5;5;5;5;2;1;;
31;6;1;1;2;2;;0;deutsch;1;;8;84;2,7500;2,8750;2,8125;2,4762;2,4405;2,4583;15;15;15;11;14;11;1;4;5;5;4;1;5;5;;;besserer Überblick;;4;1;5;5;4;2;;;;;;;;5;;1;;5;4;5;5;5;3;3;4;1;;
61;4;0;0;2;1;;0;deutsch;1;;10;72;3,0000;3,0000;3,0000;2,8611;2,8333;2,8472;15;;14;10;10;4;1;2;2;1;4;1;4;3;;;;;;;;;;;;;;1;;;;3;;1;;4;3;2;2;2;4;5;1;1;;
81;6;1;2;2;2;;0;Deutsch;4;Einer meiner besten Freunde <3;15;64;2,9333;2,9333;2,9333;2,5469;2,6406;2,5938;5;9;4;5;7;10;4;2;4;4;5;5;5;5;;;Damit ich mir selbst beweisen/zeigen kann, wie toll/nice ich bin Vergleich zu dem/der Letztplatzierten bin. ;;5;1;5;5;3;1;;;;;;;;4;;0;;4;;5;5;5;4;5;5;1;Evtl. spannendere & abwechslungsreicherer Bilder (nicht nur Gemälde) zeigen. Zb.: Fotos von Landschaften(Vulkan, chinesische Mauer)/Städte(Rio de Janeiro, Berlin, San José usw.)/Sehenswürdigkeiten/Events (Fussballstadien, Deutschland wird Weltmeister, Olympia)/Politische Ergebnisse (Ukraine?Fall Berliner Mauer usw..), ;
181;6;1;2;2;2;;0;Deutsch;1;;8;65;3,0000;3,0000;3,0000;2,3846;2,3538;2,3692;9;10;9;8;14;8;4;4;4;5;4;3;2;3;;;Bei Bestenliste 2 wäre ich mehr motiviert gewesen aufzusteigen um zu schauen welche Namen noch kommen. Trotzdem habe ich Bestenliste 1 ausgewählt weil ich mir das Leben nicht extra schwer machen wollte. Ich glaube bei Bestenliste 2 hätte ich mehr Tags abgegeben.;;5;2;4;2;2;5;Ich hätte eine Bestenliste pro Aufgabe bevorzugt. In der aktuellen Version musste ich ausrechnen wie viele Antworten pro Bild ich geben muss, um einen gewissen Platz zu erreichen.;;;;;;;3;;1;;4;4;5;5;5;2;2;4;1;In diesem konkreten Fall (Bildertacking) wäre ein Bewertungsansatz vermutlich besser, der nicht nur auf die Anzahl der Antworten abzielt.Beispielsweise könnten Antworten die auch von anderen Spielern häufig genannt werden mehr Punkte geben.;
191;4;0;0;2;2;;0;Deutsch;1;;5;77;2,6000;2,6000;2,6000;2,5455;2,5584;2,5519;9;;11;10;9;13;2;5;4;4;4;3;4;5;;;;;;;;;;;;;;5;;;;4;;1;;3;4;5;5;5;3;1;4;1;;
241;5;0;0;3;2;;8;Luxemburg;1;;9;61;2,7778;2,5556;2,6667;2,8525;2,8852;2,8689;12;;12;13;15;5;2;4;2;2;2;2;4;;1;3;;;;;;;;;;;4;;;;;3;;1;;3;4;4;4;4;4;3;2;1;;
261;5;0;0;2;2;;0;Deutsch;4;Dennis Gudea;12;93;2,0833;2,2500;2,1667;2,8710;2,9355;2,9032;5;;5;5;13;14;5;4;5;4;5;5;5;;1;4;;;;;;;;;;;1;;;;;1;;1;;5;2;3;2;4;1;1;4;1;;
311;6;1;1;2;2;;0;Deutsch;1;;7;101;2,7143;2,8571;2,7857;2,4554;2,4257;2,4406;9;9;12;12;13;9;2;5;5;5;5;3;3;3;;;Damit ich weiß, wieviele tags ich angeben muss, um an der Spitze zu sein.;;4;2;4;5;4;4;Dynamische Bestenliste, in der sich die Punkte der anderen auch verbessern.;;;;;;;3;;1;;4;4;5;4;4;4;3;5;1;;
421;4;0;0;2;2;;0;Deutsch;1;;5;46;2,4000;2,6000;2,5000;2,8913;2,8913;2,8913;12;;13;8;9;10;1;4;4;5;5;2;4;4;;;;;;;;;;;;;;3;;;;2;;1;;4;4;4;3;4;4;3;3;1;Es hat etwas gedauert bis mir mehr Stimmungen eingefallen sind die ich als Tags benutzen konnte.;
461;6;1;1;5;1;;0;deutsch;0;;8;52;2,7500;2,6250;2,6875;2,9038;2,9038;2,9038;11;12;11;7;12;11;2;4;4;4;4;2;4;4;;;Ich konnte den Vergleich besser sehen.;;5;2;4;4;4;2;;;;;;;;1;;1;;4;4;3;2;2;4;5;4;1;;
471;6;1;2;3;1;;China;China;1;;5;57;1,6000;2,0000;1,8000;1,8947;2,0702;1,9825;9;9;13;8;10;6;1;4;5;5;5;1;4;5;;;Somit kann ich die höchste Punkte sehen;;4;3;5;5;4;3;;;;;;;;1;;1;;5;5;3;2;3;4;5;4;1;;
501;4;0;0;6;1;;0;deutsch;0;;2;15;3,0000;3,0000;3,0000;2,5333;2,5333;2,5333;11;;14;10;14;5;1;3;1;1;1;2;1;1;;;;;;;;;;;;;;1;;;;2;;0;;3;;5;1;1;5;5;4;1;;
541;5;0;0;8;1;;0;Deutsch;0;;2;15;1,5000;2,0000;1,7500;2,3333;2,4000;2,3667;11;;9;8;14;3;3;1;1;1;3;3;3;;3;3;;;;;;;;;;;4;;;;;1;;0;;3;;3;1;1;5;4;5;1;;
751;6;1;2;3;1;;0;deutsch;4;Mail;6;36;2,6667;2,8333;2,7500;2,8889;2,9444;2,9167;12;12;9;6;9;12;3;3;4;4;4;3;4;5;;;Ich will alles direkt sehen;;4;1;4;4;3;1;;;;;;;;1;;1;;3;4;3;2;3;2;3;2;1;;
1661;4;0;0;2;1;;0;deutsch;4;Studium;10;56;2,0000;2,1000;2,0500;2,1429;2,1786;2,1607;10;;7;6;15;7;4;2;4;4;4;1;3;4;;;;;;;;;;;;;;1;;;;3;;1;;4;4;3;4;4;2;1;4;1;;
1781;6;1;2;3;1;;0;deutsch;4;Uni;7;43;2,2857;2,2857;2,2857;2,5349;2,5116;2,5233;14;6;11;9;11;9;3;3;4;4;4;1;3;1;;;um meine Leistung zu vergleichen.;;4;3;4;4;4;3;;;;;;;;0;;0;;4;;1;1;1;1;1;4;1;;
2381;4;0;0;2;1;;0;deutsch;4;Hochschul-Email der Fachschaft;15;114;2,2000;2,2667;2,2333;2,0789;2,2193;2,1491;15;;15;13;11;10;1;4;5;5;5;4;3;5;;;;;;;;;;;;;;1;;;;1;;0;;5;;3;1;1;4;3;3;1;Wenn es wirklich um die Rangliste geht, habt ihr/ hast du mich echt gekriegt. Coole Sache! ;
2451;4;0;0;2;1;;0;deutsch;0;;5;48;3,0000;3,0000;3,0000;2,9583;2,9583;2,9583;11;;10;8;12;11;2;4;4;4;2;2;3;2;;;;;;;;;;;;;;2;;;;1;;0;;2;;2;1;2;4;4;4;1;Am besten 10 Sekunden Zeit, die Bilder anzuschauen ;
2461;4;0;0;2;2;;Belarussisch;Belarussisch;4;Aus E-Mail;5;46;2,2000;2,4000;2,3000;2,3043;2,3043;2,3043;12;;15;11;13;10;1;2;3;4;4;1;5;3;;;;;;;;;;;;;;5;;;;5;;1;;4;3;4;5;5;2;2;2;1;;
2511;4;0;0;3;2;;0;deutsch;4;E-Mail der Fachschaft AING der HS KL;7;91;2,8571;2,8571;2,8571;2,6703;2,7582;2,7143;14;;15;10;12;7;1;1;4;1;4;2;3;5;;;;;;;;;;;;;;2;;;;2;;1;;5;4;4;2;3;4;5;1;1;Ich habe mich während des Taggings gefragt, inwieweit meine Interaktion mit dem User Design und meine Antwortzeiten zu der Analyse der Studie beitragen. Ich fand die Studie aufregend, die Bilder sehr ansprechend und gut getroffen für eine interpretative Aufgabe wie diese. Mehr davon :);
2681;6;1;1;2;2;;0;deutsch;4;Mailverteiler Hochschule;15;177;2,1333;2,3333;2,2333;2,0621;2,1977;2,1299;11;11;12;12;10;4;1;2;3;3;4;2;3;3;;;Kannte die Aufgabe nicht und nahm daher alle verfügbaren Vergleiche & Informationen;;5;1;5;3;3;3;;;;;;;;1;;1;;3;3;2;1;1;2;3;3;1;Interessant mich würde der Hintergrund der Studie und die Idee dahinter interessieren;
