user_id;image_id;tag;rate_1;rate_2
518;1;unruhig;3;3
518;1;ungeordnet;2;2
518;1;bunt;2;2
518;1;divers;1;2
518;1;verschieden;2;2
518;2;regen;2;2
518;2;paris;2;2
518;2;liebe;3;3
518;2;unternehmerisch;2;1
518;2;gesellig;3;3
518;2;natur;2;2
518;2;outdoor;1;1
518;3;englisch;1;1
518;3;kunst;2;2
518;3;poesi;1;1
518;3;strand;2;2
518;13;wüste;2;2
518;13;mensch;2;2
518;13;wärme;2;3
518;13;rot;2;2
518;13;fata;1;1
518;13;morgana;1;1
518;13;vernebelt;1;2
518;13;unklar;2;2
518;15;paris;2;2
518;15;allee;2;2
518;15;warmes;2;2
518;15;licht;2;2
518;15;regen;2;2
518;15;nachdenklich;3;3
518;15;landschaft;2;2
518;15;kultur;2;1
518;8;regen;2;2
518;8;düster;3;3
518;8;kalt;2;2
518;8;trist;3;3
518;8;unsynchron;1;1
518;8;ungeordnet;2;2
518;16;mix;2;1
518;16;schwarz;2;2
518;16;weiß;2;1
518;16;rot;2;2
518;16;gelb;2;2
518;16;leer;2;2
518;9;paris;2;2
518;9;allee;2;2
518;9;liebevoll;3;3
518;9;gemeinsam;3;3
518;9;zweisamkeit;3;3
518;9;liebe;2;2
518;6;kunst;1;1
518;6;kultur;2;2
518;6;kreise;2;2
518;6;ovale;2;2
518;6;formen;2;2
518;6;fokus;1;1
518;6;ruhe;3;3
518;6;fokussierung;1;1
518;12;geisha;2;2
518;12;bunt;2;2
518;12;japanisch;2;2
518;12;kultur;2;2
518;12;fremd;2;2
518;12;neu;1;1
518;12;kulturell;2;2
518;12;interessant;3;3
518;12;neuartig;1;1
518;17;wärme;3;3
518;17;sonne;2;2
518;17;sonnenuntergang;2;2
518;17;kühle;2;2
518;17;wolken;2;2
518;17;dicht;1;1
518;17;romantisch;3;3
518;14;kühl;3;3
518;14;trist;3;3
518;14;kahl;2;3
518;14;formen;1;1
518;14;ungeordnet;2;2
518;14;motivlos;2;1
518;14;kunst;2;2
518;18;matsch;2;2
518;18;schlamm;2;2
518;18;grün;1;1
518;18;braun;2;2
518;18;gelb;2;2
518;18;trostlos;2;3
518;18;wärmelos;1;1
518;4;wärme;3;3
518;4;sommer;2;2
518;4;wonne;2;3
518;4;schiff;2;2
518;4;segelboot;2;2
